address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,listing_date,latitude,longitude,url,walkscore,transit_score,bike_score,walkscore_error,median_income,population,white_pop,black_pop,asian_pop,hispanic_pop,competition_density,population_density_proxy,diversity_index,affordability_index,price_per_sqft,affordability_ratio,rent_premium
10203 Tabor St #2,Los Angeles,CA,90034,2295.0,1.0,1.0,700.0,1970-01-01,34.02604,-118.405495,https://www.zillow.com/homedetails/2088751006_zpid/,88.0,61.0,87.0,,88490.0,53321.0,25577.0,5050.0,10840.0,13887.0,5,10664.2,0.6517780995083579,38.55773420479303,3.2785714285714285,0.3112216069612386,-327.5
11612 Culver Blvd #401,Los Angeles,CA,90066,2900.0,1.0,1.0,750.0,1970-01-01,33.998974,-118.41408,https://www.zillow.com/homedetails/2068748898_zpid/,82.0,50.0,83.0,,90983.0,54913.0,33260.0,2742.0,7985.0,14950.0,4,13728.25,0.53538786430103,31.373448275862067,3.8666666666666667,0.38248903641339593,277.5
9949 Pinewood Ave #2,Tujunga,CA,91042,1800.0,1.0,1.0,,1970-01-01,34.249424,-118.2862,https://www.zillow.com/homedetails/349360936_zpid/,86.0,31.0,38.0,,73115.0,26686.0,19149.0,322.0,2292.0,6687.0,1,26686.0,0.4147841733651893,40.61944444444445,,0.29542501538671956,-822.5
6041 Fulton Ave APT 101,Van Nuys,CA,91401,2595.0,2.0,2.0,861.0,1970-01-01,34.180458,-118.4229,https://www.zillow.com/homedetails/2124173776_zpid/,56.0,49.0,62.0,,65458.0,38974.0,22272.0,2175.0,1957.0,16550.0,3,12991.333333333334,0.4874792876129392,25.22466281310212,3.013937282229965,0.475724892297351,-27.5
5921 Whitsett Ave APT 101,Valley Village,CA,91607,1895.0,1.0,1.0,700.0,1970-01-01,34.17813,-118.40592,https://www.zillow.com/homedetails/2054613759_zpid/,80.0,45.0,62.0,,80871.0,30921.0,20505.0,2208.0,2236.0,6657.0,1,30921.0,0.5035649588130682,42.67598944591029,2.7071428571428573,0.2811885595578143,-727.5
937 Hyperion Ave APT 2,Los Angeles,CA,90029,2229.0,1.0,1.0,,1970-01-01,34.088703,-118.28189,https://www.zillow.com/homedetails/2085892416_zpid/,90.0,66.0,64.0,,50822.0,35037.0,11945.0,1372.0,5524.0,18749.0,4,8759.25,0.5710258321309525,22.800358905338715,,0.5263075046239818,-393.5
2727 Butler Ave,Los Angeles,CA,90064,5495.0,3.0,1.0,,1970-01-01,34.027122,-118.4361,https://www.zillow.com/homedetails/20463906_zpid/,71.0,62.0,72.0,,109357.0,25161.0,15722.0,605.0,5149.0,3631.0,2,12580.5,0.546272948517339,19.90118289353958,,0.602979233153799,2872.5
7718 Avalon Blvd #7722,Los Angeles,CA,90003,1993.0,2.0,1.0,613.0,1970-01-01,33.968655,-118.26485,https://www.zillow.com/homedetails/2057307844_zpid/,64.0,61.0,64.0,,47733.0,75190.0,16669.0,12865.0,384.0,60929.0,1,75190.0,0.264910631241923,23.950326141495232,3.2512234910277327,0.5010370184149331,-629.5
19816 Needles St,Chatsworth,CA,91311,6000.0,5.0,3.0,2402.0,1970-01-01,34.246613,-118.56528,https://www.zillow.com/homedetails/20174279_zpid/,32.0,35.0,46.0,,101623.0,41188.0,21496.0,2894.0,6750.0,12351.0,1,41188.0,0.6059050232330152,16.937166666666666,2.4979184013322233,0.7085010283105203,3377.5
4214 Montclair St UNIT 5,Los Angeles,CA,90018,1980.0,1.0,1.0,500.0,1970-01-01,34.03151,-118.332275,https://www.zillow.com/homedetails/2061759157_zpid/,80.0,50.0,48.0,,55275.0,51388.0,14335.0,14408.0,2765.0,29230.0,2,25694.0,0.5171325797072005,27.916666666666668,3.96,0.4298507462686567,-642.5
1154 S Barrington Ave APT 117,Los Angeles,CA,90049,3000.0,1.0,1.0,880.0,1970-01-01,34.0503,-118.46119,https://www.zillow.com/homedetails/79804032_zpid/,90.0,64.0,68.0,,143000.0,35853.0,29244.0,480.0,2546.0,2825.0,4,8963.25,0.3232618441304684,47.66666666666666,3.409090909090909,0.2517482517482518,377.5
7439 Irondale Ave,Winnetka,CA,91306,4000.0,3.0,2.0,1588.0,1970-01-01,34.20588,-118.5855,https://www.zillow.com/homedetails/19911793_zpid/,60.0,43.0,52.0,,77597.0,49260.0,17687.0,1824.0,9074.0,24072.0,4,12315.0,0.596976541898457,19.39925,2.5188916876574305,0.6185806152299702,1377.5
1886 Preston Ave,Los Angeles,CA,90026,5599.0,4.0,2.0,1500.0,1970-01-01,34.086216,-118.25299,https://www.zillow.com/homedetails/20742645_zpid/,76.0,45.0,34.0,,70436.0,65921.0,26122.0,2279.0,9800.0,32695.0,3,21973.666666666668,0.5736917741990324,12.580103589926772,3.732666666666667,0.9538872167641547,2976.5
169 Huron St #4A,Brooklyn,NY,11222,4750.0,1.0,1.0,,1970-01-01,40.73318,-73.95442,https://www.zillow.com/homedetails/338824907_zpid/,97.0,85.0,95.0,,110385.0,39669.0,31132.0,1416.0,1595.0,5693.0,3,13223.0,0.3606114304559635,23.23894736842105,,0.5163745074058975,2127.5
437 Arlene St,Staten Island,NY,10314,4500.0,3.0,3.0,2916.0,1970-01-01,40.60721,-74.16528,https://www.zillow.com/homedetails/32310708_zpid/,82.0,59.0,67.0,,94578.0,93736.0,64563.0,3716.0,16710.0,14198.0,2,46868.0,0.4692960798979072,21.017333333333333,1.5432098765432098,0.57095730508152,1877.5
1014 Park Pl #1E,Brooklyn,NY,11213,3100.0,3.0,1.0,,1970-01-01,40.67279,-73.94392,https://www.zillow.com/homedetails/2076805603_zpid/,90.0,100.0,94.0,,48896.0,69392.0,16573.0,44558.0,1251.0,8266.0,1,69392.0,0.5161265536407293,15.772903225806452,,0.7607984293193717,477.5
103 2nd Ave #4L,New York,NY,10003,3850.0,1.0,1.0,,1970-01-01,40.727634,-73.988785,https://www.zillow.com/homedetails/456245516_zpid/,100.0,100.0,97.0,,137533.0,54447.0,38481.0,2823.0,9110.0,4378.0,4,13611.75,0.4633399708744259,35.722857142857144,,0.33591937934895627,1227.5
351 Grove St #PENTHOUSE,Brooklyn,NY,11237,3200.0,1.0,2.0,,1970-01-01,40.700115,-73.91434,https://www.zillow.com/homedetails/456245514_zpid/,99.0,100.0,89.0,,65908.0,50590.0,16855.0,5681.0,3290.0,29698.0,2,25295.0,0.5275515315794675,20.59625,,0.5826303331917217,577.5
192 22nd St #3R,Brooklyn,NY,11232,2500.0,1.0,1.0,,1970-01-01,40.661606,-73.99581,https://www.zillow.com/homedetails/2066422746_zpid/,95.0,100.0,72.0,,77031.0,28501.0,11831.0,2299.0,4604.0,14318.0,3,9500.333333333334,0.5427099587437878,30.8124,,0.3894535966039646,-122.5
648 9th Ave APT 4FS,New York,NY,10036,3400.0,2.0,1.0,,1970-01-01,40.76051,-73.990715,https://www.zillow.com/homedetails/2054437937_zpid/,100.0,100.0,95.0,,98177.0,30437.0,18141.0,2288.0,5116.0,6001.0,2,15218.5,0.5719866287550401,28.87558823529412,,0.4155759495604877,777.5
455 Pulaski St #2,Brooklyn,NY,11221,3000.0,3.0,1.0,,1970-01-01,40.694565,-73.932175,https://www.zillow.com/homedetails/2108426995_zpid/,97.0,97.0,79.0,,66923.0,89728.0,21971.0,38446.0,3972.0,29046.0,6,14954.666666666666,0.649704790839538,22.307666666666663,,0.5379316527950032,377.5
163 Court St #2A,Brooklyn,NY,11201,4000.0,1.0,1.0,,1970-01-01,40.68863,-73.992546,https://www.zillow.com/homedetails/2075638888_zpid/,100.0,100.0,94.0,,148282.0,68777.0,42126.0,8999.0,9532.0,8132.0,1,68777.0,0.5745342469865988,37.0705,,0.32370753024642235,1377.5
325 W 42nd St #3W,New York,NY,10036,4200.0,3.0,1.0,,1970-01-01,40.757988,-73.990845,https://www.zillow.com/homedetails/2056442367_zpid/,99.0,100.0,92.0,,98177.0,30437.0,18141.0,2288.0,5116.0,6001.0,2,15218.5,0.5719866287550401,23.375476190476192,,0.5133585259276613,1577.5
245 E 62nd St APT 17,New York,NY,10065,3350.0,1.0,1.0,,1970-01-01,40.76293,-73.96344,https://www.zillow.com/homedetails/2116923976_zpid/,99.0,100.0,81.0,,152335.0,31270.0,24949.0,647.0,4304.0,2574.0,1,31270.0,0.3372749510668144,45.473134328358206,,0.2638920799553615,727.5
1719 E 8th St #2D,Brooklyn,NY,11223,2575.0,2.0,1.0,,1970-01-01,40.607048,-73.96444,https://www.zillow.com/homedetails/456245513_zpid/,95.0,95.0,73.0,,57281.0,83565.0,44906.0,5013.0,21598.0,11222.0,3,27855.0,0.622791824081772,22.24504854368932,,0.5394458895619839,-47.5
255 W 88th St APT 8B,New York,NY,10024,11495.0,3.0,3.0,,1970-01-01,40.78985,-73.97586,https://www.zillow.com/homedetails/2096833283_zpid/,99.0,100.0,84.0,,153177.0,63916.0,52190.0,1834.0,3588.0,7446.0,2,31958.0,0.315715597268696,13.325532840365376,,0.9005268414970916,8872.5
862 E 35th St #4-A,Brooklyn,NY,11210,3500.0,3.0,2.0,1100.0,1970-01-01,40.633682,-73.9432,https://www.zillow.com/homedetails/456245495_zpid/,87.0,98.0,56.0,,77378.0,65854.0,21344.0,35066.0,3177.0,4684.0,2,32927.0,0.6040297116864756,22.108,3.1818181818181817,0.5427899402931066,877.5
1557 Fulton St #3F,Brooklyn,NY,11216,2890.0,1.0,1.0,,1970-01-01,40.679943,-73.939026,https://www.zillow.com/homedetails/447109542_zpid/,96.0,100.0,80.0,,84661.0,62210.0,21074.0,30187.0,2873.0,7961.0,1,62210.0,0.6312741382028365,29.294463667820068,,0.4096337156423855,267.5
1969 McGraw Ave APT 4A,Bronx,NY,10462,2400.0,1.0,1.0,656.0,1970-01-01,40.83478,-73.8604,https://www.zillow.com/homedetails/29802915_zpid/,97.0,93.0,52.0,,59032.0,78470.0,15172.0,20127.0,11680.0,37603.0,1,78470.0,0.6450378880958794,24.596666666666668,3.658536585365854,0.4878709852283507,-222.5
455 E 116th St APT 24,New York,NY,10029,3895.0,3.0,1.0,800.0,1970-01-01,40.79537,-73.93322,https://www.zillow.com/homedetails/443815489_zpid/,92.0,100.0,83.0,,33901.0,77661.0,21361.0,23610.0,8336.0,35569.0,1,77661.0,0.6106322061350236,8.70372272143774,4.86875,1.3787203917288575,1272.5
155 W 81st St APT 2A,New York,NY,10024,3800.0,1.0,1.0,,1970-01-01,40.784172,-73.97608,https://www.zillow.com/homedetails/2097409496_zpid/,97.0,100.0,86.0,,153177.0,63916.0,52190.0,1834.0,3588.0,7446.0,2,31958.0,0.315715597268696,40.30973684210527,,0.2976948236354022,1177.5
2263 West St #GF,Brooklyn,NY,11223,2749.0,2.0,1.0,1200.0,1970-01-01,40.593594,-73.97051,https://www.zillow.com/homedetails/456245482_zpid/,94.0,93.0,73.0,,57281.0,83565.0,44906.0,5013.0,21598.0,11222.0,3,27855.0,0.622791824081772,20.837031647871957,2.2908333333333335,0.57589776714792,126.5
2203 E 15th St,Brooklyn,NY,11229,2700.0,3.0,1.0,750.0,1970-01-01,40.596535,-73.95584,https://www.zillow.com/homedetails/456245484_zpid/,96.0,83.0,60.0,,69076.0,85538.0,53999.0,5020.0,20037.0,7834.0,1,85538.0,0.5347735559277135,25.583703703703705,3.6,0.4690485841681626,77.5
365 6th Ave #2F,Brooklyn,NY,11215,4999.0,3.0,1.0,1500.0,1970-01-01,40.670242,-73.98176,https://www.zillow.com/homedetails/456245469_zpid/,94.0,100.0,85.0,,156930.0,73419.0,53594.0,2734.0,6665.0,11968.0,3,24473.0,0.4309373063310318,31.392278455691137,3.332666666666667,0.3822596061938444,2376.5
1623 3rd Ave APT 24C,New York,NY,10128,4950.0,1.0,1.0,820.0,1970-01-01,40.782013,-73.95067,https://www.zillow.com/homedetails/61969148_zpid/,100.0,100.0,71.0,,127919.0,58147.0,42660.0,2985.0,5736.0,7543.0,2,29073.5,0.4325517300501932,25.842222222222222,6.036585365853658,0.46435635050305274,2327.5
6516 Ocean Ave N #2,Arverne,NY,11692,3200.0,3.0,2.0,,1970-01-01,40.58973,-73.794624,https://www.zillow.com/homedetails/2103897528_zpid/,77.0,73.0,71.0,,53498.0,24639.0,4882.0,13798.0,1407.0,6084.0,1,24639.0,0.5828996193075413,16.718125,,0.7177838423866313,577.5
137 21st St APT 1F,Brooklyn,NY,11232,5800.0,4.0,4.0,,1970-01-01,40.663704,-73.99687,https://www.zillow.com/homedetails/2084390919_zpid/,95.0,100.0,73.0,,77031.0,28501.0,11831.0,2299.0,4604.0,14318.0,3,9500.333333333334,0.5427099587437878,13.281206896551724,,0.903532344121198,3177.5
246 Patchen Ave #3,Brooklyn,NY,11233,3050.0,2.0,1.0,800.0,1970-01-01,40.682163,-73.92618,https://www.zillow.com/homedetails/2054296820_zpid/,89.0,98.0,68.0,,52380.0,85633.0,11760.0,61404.0,1193.0,13657.0,2,42816.5,0.4413364595056027,17.17377049180328,3.8125,0.6987399770904925,427.5
